County_of_Residence,State,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_Birth_Weight_gms
Chautauqua County,NY,1299,27.28,38.47,3263.74
Benton County,WA,2552,28.53,38.55,3329.61
Windham County,CT,1062,29.25,38.38,3275.46
Kenton County,KY,2191,28.58,38.38,3284.94
Orange County,CA,35679,30.98,38.63,3291.59
Burlington County,NJ,4365,30.53,38.54,3294.48
Yavapai County,AZ,1772,27.7,38.53,3260.13
Martin County,FL,1251,29.61,38.53,3287.78
Lake County,OH,2212,29.41,38.53,3289.25
Monroe County,IN,1246,29.24,38.52,3304.6
Mecklenburg County,NC,14650,29.7,38.52,3220.41
Tulare County,CA,6905,27.82,38.51,3304.18
Buncombe County,NC,2482,29.69,38.5,3264.1
Washington County,RI,870,31.09,38.75,3366.33
Sonoma County,CA,4526,30.73,38.83,3361.32
Columbia County,GA,1817,29.54,38.49,3322.1
Jefferson County,NY,1864,26.74,38.62,3341.79
Douglas County,OR,1054,27.61,38.7,3323.12
Medina County,OH,1675,30.06,38.77,3382.42
Imperial County,CA,2629,27.91,38.65,3320.75
Rockland County,NY,5719,29.94,39.09,3333.35
Unidentified Counties,SC,12921,26.86,38.13,3160.86
Unidentified Counties,AL,22362,26.66,38.17,3198.29
Niagara County,NY,2100,28.89,38.41,3265.76
Rowan County,NC,1593,27.61,38.24,3213.0
Fresno County,CA,14465,28.43,38.49,3276.69
McLennan County,TX,3460,27.49,38.39,3286.53
Jasper County,MO,1570,26.73,38.3,3270.21
Johnson County,IN,1877,28.27,38.46,3319.68
Charles County,MD,1863,29.47,38.46,3224.94
Sebastian County,AR,1662,26.81,38.37,3268.5
Maricopa County,AZ,51854,28.69,38.44,3281.98
Canadian County,OK,1864,28.34,38.27,3302.66
Ingham County,MI,3049,28.66,38.52,3262.53
Franklin County,OH,18338,29.25,38.42,3235.98
Prince William County,VA,6484,30.11,38.5,3291.91
Marathon County,WI,1561,28.86,38.58,3346.37
Contra Costa County,CA,12002,31.06,38.64,3310.89
Bartow County,GA,1173,27.39,38.38,3284.58
Anoka County,MN,4241,30.08,38.63,3362.99
Lehigh County,PA,4352,28.76,38.63,3275.38
Wayne County,NC,1639,27.29,38.53,3284.48
Mohave County,AZ,1796,27.09,38.52,3289.4
Sarasota County,FL,2878,29.3,38.6,3308.35
Washtenaw County,MI,3527,30.93,38.6,3287.95
Cumberland County,ME,2717,31.2,38.68,3348.32
Elkhart County,IN,3117,27.28,38.67,3331.83
Chittenden County,VT,1392,30.92,38.87,3363.3
Merrimack County,NH,1305,29.88,38.84,3349.48
Rankin County,MS,1744,28.51,37.88,3226.85
Madison County,AL,4262,28.65,38.02,3180.03
Bonneville County,ID,1815,27.92,38.32,3203.52
Oklahoma County,OK,11255,28.07,38.21,3226.0
Brazoria County,TX,4734,28.98,38.19,3252.07
Sedgwick County,KS,6733,27.98,38.35,3288.15
Pitt County,NC,2085,28.41,38.09,3184.18
Warren County,KY,1732,27.85,38.33,3302.9
Linn County,IA,2731,28.89,38.41,3333.72
Polk County,FL,7847,27.65,38.39,3256.08
Pennington County,SD,1542,27.95,38.39,3298.78
Sussex County,DE,2297,28.47,38.47,3269.44
Union County,NJ,6777,30.84,38.55,3259.09
Williamson County,TX,6650,30.19,38.46,3310.3
Riverside County,CA,28725,28.93,38.54,3288.23
Paulding County,GA,1763,28.73,38.35,3298.26
New London County,CT,2457,29.74,38.64,3332.75
Boulder County,CO,2560,31.26,38.8,3232.47
Montgomery County,PA,8515,31.35,38.7,3319.72
Hampshire County,MA,948,31.45,38.78,3346.87
Wichita County,TX,1607,26.77,38.35,3286.32
Androscoggin County,ME,1240,28.5,38.68,3310.37
Onondaga County,NY,5236,29.37,38.68,3306.46
Spartanburg County,SC,3855,27.69,38.25,3245.29
Montgomery County,OH,6480,27.96,38.33,3260.13
Unidentified Counties,WV,14897,27.07,38.22,3236.91
Harrison County,MS,2662,27.52,38.13,3184.96
Winnebago County,IL,3497,27.92,38.21,3247.24
Champaign County,IL,2254,28.91,38.27,3252.19
Unidentified Counties,TN,30395,26.78,38.26,3253.44
Orange County,FL,16919,29.65,38.34,3232.26
Unidentified Counties,VA,38308,28.39,38.5,3276.37
Lackawanna County,PA,2033,28.94,38.48,3275.38
Yakima County,WA,3690,27.93,38.48,3310.34
